City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,7.87,87,77,1.34,US,1701707711
1,port elizabeth,-33.918,25.5701,20.17,76,20,8.75,ZA,1701707828
2,codrington,-38.2667,141.9667,12.03,94,86,0.39,AU,1701707829
3,jamestown,42.097,-79.2353,4.77,88,100,8.75,US,1701707829
4,grytviken,-54.2811,-36.5092,1.8,63,41,6.47,GS,1701707829
5,port-aux-francais,-49.35,70.2167,4.07,72,34,12.32,TF,1701707829
6,adamstown,-25.066,-130.1015,22.35,79,26,5.72,PN,1701707829
7,itaituba,-4.2761,-55.9836,32.09,62,75,5.14,BR,1701707830
8,queenstown,-31.8976,26.8753,15.29,84,71,5.0,ZA,1701707830
9,mar del plata,-38.0023,-57.5575,17.75,57,0,6.69,AR,1701707643
10,port macquarie,-31.4333,152.9167,15.89,92,26,1.35,AU,1701707747
11,pankrushikha,53.8319,80.3406,-14.92,90,97,1.59,RU,1701707830
12,yellowknife,62.456,-114.3525,-13.71,85,100,3.6,CA,1701707821
13,college,64.8569,-147.8028,-18.08,78,40,0.0,US,1701707831
14,bredasdorp,-34.5322,20.0403,18.84,60,56,5.37,ZA,1701707831
15,whitehorse,60.7161,-135.0538,-9.57,85,40,6.69,CA,1701707567
16,san isidro de curuguaty,-24.5167,-55.7,27.28,78,100,0.75,PY,1701707832
17,conceicao da barra,-18.5933,-39.7322,31.43,49,9,5.36,BR,1701707832
18,bethel,41.3712,-73.414,10.86,68,0,5.66,US,1701707832
19,georgetown,5.4112,100.3354,27.96,89,40,0.0,MY,1701707833
20,bambanglipuro,-7.95,110.2833,25.5,89,100,1.52,ID,1701707833
21,ribeira grande,38.5167,-28.7,17.65,59,75,6.71,PT,1701707833
22,san andres,12.5847,-81.7006,31.01,70,40,5.14,CO,1701707833
23,naze,28.3667,129.4833,17.51,92,100,9.99,JP,1701707834
24,gorontalo,0.5412,123.0595,24.52,96,64,1.19,ID,1701707834
25,traverse city,44.7631,-85.6206,2.11,90,100,1.54,US,1701707311
26,puerto ayora,-0.7393,-90.3518,28.98,87,84,2.24,EC,1701707834
27,qaqortoq,60.7167,-46.0333,-4.06,71,100,4.81,GL,1701707835
28,labasa,-16.4167,179.3833,25.16,90,86,2.71,FJ,1701707835
29,villa gesell,-37.2639,-56.973,17.81,54,1,6.03,AR,1701707835
30,sitia,35.2,26.0986,18.32,69,0,0.61,GR,1701707700
31,solnechnyy,50.7214,136.6319,-12.76,97,81,1.51,RU,1701707836
32,freetown,8.484,-13.2299,28.66,73,31,3.93,SL,1701707836
33,borogontsy,62.6683,131.1683,-49.18,100,76,1.51,RU,1701707836
34,maholi,27.6667,80.4667,18.27,63,98,2.18,IN,1701707836
35,west island,-12.1568,96.8225,25.99,83,40,4.63,CC,1701707837
36,minas de marcona,-15.2119,-75.1103,21.25,52,86,5.22,PE,1701707837
37,papatowai,-46.5619,169.4708,5.07,84,15,1.8,NZ,1701707837
38,kalamaria,40.5825,22.9503,12.95,70,75,2.06,GR,1701707837
39,puerto natales,-51.7236,-72.4875,15.25,55,75,7.2,CL,1701707838
40,tadine,-21.55,167.8833,23.44,73,87,2.87,NC,1701707838
41,tsengel,49.4783,100.8894,-8.95,66,33,6.23,MN,1701707838
42,fortuna,40.5982,-124.1573,15.37,92,100,7.2,US,1701707839
43,kill devil hills,36.0307,-75.676,15.55,76,0,2.06,US,1701707737
44,blackmans bay,-43.0167,147.3167,13.62,87,34,0.45,AU,1701707839
45,chulakkurgan,43.765,69.1814,6.5,82,85,0.77,KZ,1701707839
46,loch garman,52.3342,-6.4575,4.94,93,38,8.49,IE,1701707840
47,west end,26.6833,-78.9667,27.99,77,65,5.62,BS,1701707840
48,port lincoln,-34.7333,135.8667,17.35,83,84,4.46,AU,1701707831
49,coro,11.4045,-69.6734,29.93,65,40,7.15,VE,1701707840
50,hamilton,39.1834,-84.5333,5.55,80,75,2.57,US,1701707486
51,brookings,44.3114,-96.7984,-2.12,100,100,3.6,US,1701707656
52,margaret river,-33.95,115.0667,14.39,76,100,2.41,AU,1701707841
53,puerto carreno,6.189,-67.4859,31.99,58,20,5.14,CO,1701707841
54,iqaluit,63.7506,-68.5145,-3.15,73,75,1.03,CA,1701707842
55,sinabang,2.4803,96.3801,26.6,86,96,2.29,ID,1701707842
56,punta arenas,-53.15,-70.9167,13.06,62,0,14.4,CL,1701707842
57,miquelon,47.0975,-56.3814,0.0,95,100,11.29,PM,1701707842
58,ebon,4.582,168.6964,28.09,80,100,6.29,MH,1701707843
59,figuig (centre),32.1089,-1.2286,14.6,38,58,3.08,MA,1701707843
60,tengrela,10.4869,-6.4097,34.0,16,83,1.6,CI,1701707843
61,luderitz,-26.6481,15.1594,20.76,55,0,13.7,NA,1701707844
62,santiago de cao,-7.9589,-79.2392,21.07,78,20,5.14,PE,1701707844
63,newnham,-41.3833,147.1333,13.15,93,40,1.54,AU,1701707844
64,fale old settlement,-9.3852,-171.2468,28.63,77,82,6.92,TK,1701707844
65,yokadouma,3.5167,15.05,21.61,97,100,1.4,CM,1701707844
66,kavieng,-2.5744,150.7967,27.35,81,100,3.37,PG,1701707845
67,singkil,-7.9855,111.4161,25.14,92,100,1.68,ID,1701707845
68,mount pearl,47.5166,-52.7813,1.19,92,100,5.66,CA,1701707766
69,arraial do cabo,-22.9661,-42.0278,30.98,70,40,4.12,BR,1701707845
70,sussex,41.1834,-74.6663,9.07,76,0,2.24,US,1701707645
71,kirkuk,35.4681,44.3922,15.97,32,98,1.91,IQ,1701707846
72,udachny,66.4167,112.4,-37.53,81,99,1.42,RU,1701707846
73,kapa'a,22.0752,-159.319,21.72,90,100,2.06,US,1701707846
74,port mathurin,-19.6833,63.4167,26.01,82,2,4.63,MU,1701707846
75,bilibino,68.0546,166.4372,-25.71,99,100,0.92,RU,1701707847
76,ilulissat,69.2167,-51.1,-7.99,67,40,1.54,GL,1701707847
77,daye,30.0833,114.95,10.23,44,1,1.05,CN,1701707847
78,keflavik,64.0049,-22.5624,3.24,81,100,9.26,IS,1701707848
79,korla,41.7597,86.1469,0.83,47,0,1.94,CN,1701707848
80,posto fiscal rolim de moura,-13.0833,-62.2667,31.83,56,87,0.39,BR,1701707848
81,bubaque,11.2833,-15.8333,28.39,65,8,4.69,GW,1701707848
82,lazaro cardenas,17.9583,-102.2,28.7,64,100,0.5,MX,1701707848
83,mersing,2.4312,103.8405,26.95,89,20,1.03,MY,1701707849
84,acarau,-2.8856,-40.12,31.43,58,52,8.04,BR,1701707849
85,magadan,59.5667,150.8,-25.79,93,88,3.03,RU,1701707689
86,anadyr,64.75,177.4833,-18.72,84,20,7.0,RU,1701707849
87,kigoma,-4.8769,29.6267,22.5,84,93,3.25,TZ,1701707849
88,lihue,21.9789,-159.3672,21.31,86,100,2.06,US,1701707849
89,saipan,15.1355,145.701,27.39,83,75,7.2,MP,1701707850
90,homer,59.6425,-151.5483,-0.07,86,75,0.0,US,1701707726
91,lamarque,-39.423,-65.7021,26.34,12,0,5.82,AR,1701707850
92,taber,49.8167,-112.1518,1.48,53,72,4.89,CA,1701707850
93,cabo san lucas,22.8909,-109.9124,25.98,53,0,4.12,MX,1701707231
94,grand falls-windsor,48.9332,-55.6649,-0.83,88,100,0.89,CA,1701707851
95,flying fish cove,-10.4217,105.6791,25.82,83,75,3.09,CX,1701707851
96,bam,29.106,58.357,16.17,26,100,0.27,IR,1701707851
97,thompson,55.7435,-97.8558,-5.91,93,100,1.54,CA,1701707851
98,khandyga,62.6667,135.6,-49.43,99,89,0.4,RU,1701707851
99,tolanaro,-25.0319,46.9987,25.04,69,75,7.2,MG,1701707852
100,kununurra,-15.7667,128.7333,24.99,94,61,2.57,AU,1701707852
101,illizi,26.4833,8.4667,21.89,26,0,3.26,DZ,1701707852
102,mili,6.0815,171.735,27.96,82,81,9.37,MH,1701707852
103,utrik,11.2278,169.8474,27.35,72,71,8.9,MH,1701707853
104,virginia beach,36.8529,-75.978,16.14,80,75,3.6,US,1701707530
105,longyearbyen,78.2186,15.6401,-5.09,68,75,9.77,SJ,1701707833
106,lucapa,-8.4192,20.7447,18.71,97,100,0.73,AO,1701707853
107,coruripe,-10.1256,-36.1756,29.91,62,42,6.86,BR,1701707853
108,berezovyy,51.6667,135.7,-14.41,95,16,1.36,RU,1701707854
109,edinburgh of the seven seas,-37.0676,-12.3116,16.29,93,44,8.58,SH,1701707854
110,yuzhno-kurilsk,44.0306,145.8556,4.1,68,17,3.62,RU,1701707854
111,east london,-33.0153,27.9116,18.52,88,100,2.57,ZA,1701707854
112,manismata,-2.4667,111.0333,23.13,98,87,0.92,ID,1701707854
113,mogocha,53.7333,119.7667,-12.67,96,100,1.13,RU,1701707854
114,timimoun,29.2639,0.231,19.21,30,0,5.14,DZ,1701707855
115,sisimiut,66.9395,-53.6735,-5.85,78,100,2.6,GL,1701707855
116,heroica guaymas,27.9333,-110.9,20.49,41,0,0.0,MX,1701707834
117,portland,45.5234,-122.6762,15.34,94,100,5.81,US,1701707479
118,ardakan,32.31,54.0175,14.69,20,0,0.93,IR,1701707856
119,suva,-18.1416,178.4415,24.71,94,40,2.57,FJ,1701707632
120,waitangi,-43.9535,-176.5597,9.9,80,44,8.96,NZ,1701707856
121,fisterra,42.9049,-9.2629,12.79,59,10,6.82,ES,1701707856
122,enewetak,11.3474,162.3373,27.71,72,100,8.46,MH,1701707856
123,san luis de la loma,17.2706,-100.8939,28.77,64,94,1.9,MX,1701707857
124,hasaki,35.7333,140.8333,3.22,45,43,1.86,JP,1701707857
125,linxi,39.7,118.4333,2.17,39,0,1.3,CN,1701707857
126,vila franca do campo,37.7167,-25.4333,18.27,99,94,1.98,PT,1701707858
127,salinas,36.6777,-121.6555,13.65,92,0,1.54,US,1701707585
128,santana,-0.0583,-51.1817,32.1,66,40,4.63,BR,1701707858
129,bhadasar,28.2833,74.3167,17.6,34,0,1.0,IN,1701707858
130,mora,11.0461,14.1401,29.31,13,92,2.63,CM,1701707858
131,zheleznogorsk,52.331,35.3711,-9.58,96,78,3.85,RU,1701707859
132,wailua homesteads,22.0669,-159.378,20.97,89,100,2.06,US,1701707859
133,kodiak,57.79,-152.4072,5.73,87,100,8.23,US,1701707859
134,renqiu,38.6989,116.0936,2.53,36,0,1.4,CN,1701707859
135,horsham,51.064,-0.3272,8.69,88,75,4.63,GB,1701707371
136,stanley,54.868,-1.6985,5.43,95,75,3.09,GB,1701707859
137,dapa,9.7594,126.0531,26.89,84,96,2.87,PH,1701707860
138,uturoa,-16.7333,-151.4333,26.58,79,100,9.28,PF,1701707860
139,invercargill,-46.4,168.35,2.94,93,5,1.62,NZ,1701707860
140,jiayuguan,39.8167,98.3,-1.14,36,4,2.74,CN,1701707860
141,ngorongoro,-3.2397,35.4875,14.71,81,98,1.39,TZ,1701707860
142,tiksi,71.6872,128.8694,-32.76,98,97,3.32,RU,1701707860
143,ushuaia,-54.8,-68.3,11.81,66,0,6.17,AR,1701707861
144,egilsstadir,65.2653,-14.3948,-13.05,85,40,3.09,IS,1701707861
145,port saint john's,-31.6229,29.5448,21.12,88,90,3.78,ZA,1701707861
